TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,OtherIncomeExpense,	GainOnSaleOfSecurity,	EarningsFromEquityInterest,	SpecialIncomeCharges,		ImpairmentOfCapitalAssets,		OtherSpecialCharges,		GainOnSaleOfBusiness,		GainOnSaleOfPPE,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,EarningsFromEquityInterestNetOfTax,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeExtraordinary,		MinorityInterests,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
"1,903,604,000,000","1,882,645,000,000","1,409,690,000,000","493,914,000,000","417,860,000,000","417,860,000,000",,,"-16,453,000,000","76,054,000,000","958,000,000","3,600,000,000","2,642,000,000","10,844,000,000","-5,650,000,000","1,884,000,000",,,,,,"163,611,000,000","87,856,000,000","43,127,000,000",,"27,650,000,000","27,650,000,000","44,729,000,000","44,729,000,000",,"-17,079,000,000","27,650,000,000",21.9,21.45,"1,262,507,000","1,288,794,000","94,391,000,000","1,827,550,000,000","27,650,000,000","134,575,701,400","3,600,000,000","2,642,000,000","958,000,000","90,498,000,000",,"1,409,690,000,000","174,460,000,000","27,650,000,000","-154,651,000,000","-154,651,000,000","419,609,000,000",0.309,"-47,725,298,600",33.709999084472656,33.779998779296875,33.59000015258789,33.72999954223633,33.72999954223633,647000.0,SONY,"42,531,333,287","37,511,754,782",,18.587,,0.645,1.941,0.02,0.142
"2,397,499,000,000","2,376,920,000,000","1,781,776,000,000","615,723,000,000","411,652,000,000","411,652,000,000",,,"113,013,000,000","204,071,000,000","-1,247,000,000","2,502,000,000","3,749,000,000","-136,597,000,000","-23,138,000,000","1,314,000,000",,,,,,"-114,773,000,000","66,227,000,000","36,956,000,000",,"19,631,000,000","19,631,000,000","29,271,000,000","29,271,000,000",,"-9,640,000,000","19,631,000,000",15.55,15.24,"1,262,223,000","1,288,372,000","92,372,000,000","2,193,428,000,000","19,631,000,000","35,304,681,200","2,502,000,000","3,749,000,000","-1,247,000,000","69,976,000,000",,"1,781,776,000,000","146,196,000,000","19,631,000,000","-23,138,000,000","-23,138,000,000","239,310,000,000",0.323,"-7,464,318,800",,,,,,,,"35,553,950,300","32,254,906,307",75.325,19.048,,0.545,1.781,0.013,0.149
"1,688,948,000,000","1,670,621,000,000","1,274,434,000,000","414,514,000,000","338,347,000,000","338,347,000,000",,,"31,568,000,000","76,167,000,000","-2,222,000,000","2,130,000,000","4,352,000,000","-33,425,000,000","-2,425,000,000","1,148,000,000",,,,,,"-32,148,000,000","40,520,000,000","23,500,000,000",,"4,842,000,000","4,842,000,000","17,020,000,000","17,020,000,000",,"-12,178,000,000","4,842,000,000",3.84,3.76,"1,261,840,000","1,288,270,000","45,747,000,000","1,612,781,000,000","4,842,000,000","6,484,695,000","2,130,000,000","4,352,000,000","-2,222,000,000","44,872,000,000",,"1,274,434,000,000","149,111,000,000","4,842,000,000","-2,425,000,000","-2,425,000,000","196,408,000,000",0.323,"-782,305,000",32.7599983215332,33.400001525878906,32.650001525878906,33.209999084472656,33.209999084472656,1400500.0,SONY,"41,076,423,769","33,869,102,800",52.88,,,0.547,1.763,0.02,0.175
"1,613,199,000,000","1,593,426,000,000","1,197,254,000,000","415,945,000,000","338,097,000,000","338,097,000,000",,,"20,873,000,000","77,848,000,000","-574,000,000","3,227,000,000","3,801,000,000","-20,258,000,000","1,687,000,000","-783,000,000",,,,,,"-21,162,000,000","57,016,000,000","20,475,000,000",,"21,166,000,000","21,166,000,000","36,541,000,000","36,541,000,000",,"-15,375,000,000","21,166,000,000",16.78,16.44,"1,261,523,000","1,287,215,000","56,192,000,000","1,535,351,000,000","21,166,000,000","20,084,633,000","3,227,000,000","3,801,000,000","-574,000,000","60,817,000,000",,"1,197,254,000,000","154,786,000,000","21,166,000,000","1,687,000,000","1,687,000,000","213,916,000,000",0.359,"605,633,000",29.049999237060547,29.3799991607666,28.889999389648438,29.350000381469727,29.350000381469727,1341200.0,SONY,"36,664,522,904","26,582,422,967",25.681,15.748,,0.468,1.545,0.016,0.123
"1,824,101,000,000","1,802,985,000,000","1,422,268,000,000","401,833,000,000","433,482,000,000","433,482,000,000",,,"60,317,000,000","-31,649,000,000","-2,565,000,000","3,400,000,000","5,965,000,000","-65,466,000,000","-3,300,000,000","-907,000,000",,,,,,"-14,088,000,000","-99,680,000,000","-24,565,000,000",,"-88,337,000,000","-88,337,000,000","-75,115,000,000","-75,115,000,000",,"-13,222,000,000","-88,337,000,000",-70.03,-70.03,"1,237,802,000","1,257,883,000","-92,873,000,000","1,855,750,000,000","-88,337,000,000","-50,304,002,758.828","3,400,000,000","5,965,000,000","-2,565,000,000","-93,715,000,000",,"1,422,268,000,000","220,905,000,000","-88,337,000,000","-50,471,000,000","-50,471,000,000","177,661,000,000",0.246,"-12,438,002,758.828",25.799999237060547,25.93000030517578,25.700000762939453,25.719999313354492,25.719999313354492,459900.0,SONY,"32,469,115,273","24,029,222,474",30.875,15.083,,0.423,1.312,0.013,0.189
"2,580,812,000,000","2,559,042,000,000","1,890,775,000,000","690,037,000,000","461,418,000,000","461,418,000,000",,,"28,253,000,000","228,619,000,000","-5,607,000,000","2,739,000,000","8,346,000,000","-29,732,000,000","-1,735,000,000","1,779,000,000",,,,,,"-29,776,000,000","193,280,000,000","55,676,000,000",,"120,134,000,000","120,134,000,000","137,604,000,000","137,604,000,000",,"-17,470,000,000","120,134,000,000",95.25,93.33,"1,229,937,000","1,248,258,000","202,145,000,000","2,352,193,000,000","120,134,000,000","121,369,320,000","2,739,000,000","8,346,000,000","-5,607,000,000","201,626,000,000",,"1,890,775,000,000","173,049,000,000","120,134,000,000","-1,735,000,000","-1,735,000,000","376,410,000,000",0.288,"-499,680,000",24.670000076293945,24.770000457763672,24.510000228881836,24.610000610351562,24.610000610351562,688900.0,SONY,"31,428,909,093","25,531,916,808",35.505,,,0.432,1.414,0.01,0.068
"1,892,740,000,000","1,872,649,000,000","1,395,302,000,000","497,438,000,000","418,308,000,000","418,308,000,000",,,"-7,945,000,000","79,130,000,000","-2,917,000,000","3,664,000,000","6,581,000,000","-4,019,000,000","-11,807,000,000","943,000,000",,,,,,"6,845,000,000","72,194,000,000","23,866,000,000",,"33,553,000,000","33,553,000,000","48,328,000,000","48,328,000,000",,"-14,775,000,000","33,553,000,000",26.64,26.1,"1,259,567,000","1,285,541,000","88,018,000,000","1,813,610,000,000","33,553,000,000","41,451,883,000","3,664,000,000","6,581,000,000","-2,917,000,000","78,775,000,000",,"1,395,302,000,000","152,347,000,000","33,553,000,000","-11,807,000,000","-11,807,000,000","242,929,000,000",0.331,"-3,908,117,000",24.229999542236328,24.530000686645508,24.09000015258789,24.5,24.5,1074000.0,SONY,"30,489,465,776","24,965,086,040",,,,0.41,1.554,0.013,0.108
"1,808,059,000,000","1,781,000,000,000","1,366,307,000,000","441,752,000,000","378,722,000,000","378,722,000,000",,,"-33,454,000,000","63,030,000,000","-1,742,000,000","2,652,000,000","4,394,000,000","77,422,000,000","45,036,000,000","423,000,000",,,,,,"31,963,000,000","138,710,000,000","39,812,000,000",,"82,441,000,000","82,441,000,000","98,898,000,000","98,898,000,000",,"-16,457,000,000","82,441,000,000",70.52,70.36,"1,168,969,000","1,171,746,000","96,907,000,000","1,745,029,000,000","82,441,000,000","50,330,332,000","2,652,000,000","4,394,000,000","-1,742,000,000","143,104,000,000",,"1,366,307,000,000","150,377,000,000","82,441,000,000","45,036,000,000","45,036,000,000","248,445,000,000",0.287,"12,925,332,000",28.690000534057617,29.059999465942383,28.31999969482422,28.389999389648438,28.389999389648438,2841600.0,SONY,"32,982,147,591","25,219,011,823",,,,0.473,1.758,0.014,0.086
"1,937,712,000,000","1,910,538,000,000","1,505,267,000,000","432,445,000,000","508,529,000,000","508,529,000,000",,,"21,908,000,000","-76,084,000,000","-1,472,000,000","3,727,000,000","5,199,000,000","-28,965,000,000","-5,272,000,000","219,000,000",,,,,,"157,746,000,000","-106,521,000,000","-23,553,000,000",,"-106,790,000,000","-106,790,000,000","-82,968,000,000","-82,968,000,000",,"-23,822,000,000","-106,790,000,000",-91.39,-91.39,"1,168,521,000","1,168,521,000","-97,773,000,000","2,013,796,000,000","-106,790,000,000","38,807,659,053.144","3,727,000,000","5,199,000,000","-1,472,000,000","-101,322,000,000",,"1,505,267,000,000","185,593,000,000","-106,790,000,000","-186,930,000,000","-186,930,000,000","271,201,000,000",0.221,"-41,332,340,946.856",26.700000762939453,26.829999923706055,26.59000015258789,26.780000686645508,26.780000686645508,1751300.0,SONY,"31,059,611,522","24,176,462,964",,,,0.427,1.514,0.012,0.287
"2,566,749,000,000","2,542,696,000,000","1,910,636,000,000","656,113,000,000","473,282,000,000","473,282,000,000",,,"608,000,000","182,831,000,000","-2,534,000,000","3,408,000,000","5,942,000,000","-12,469,000,000","-9,565,000,000","-128,000,000",,,,,,"-2,776,000,000","167,828,000,000","56,162,000,000",,"89,971,000,000","89,971,000,000","111,666,000,000","111,666,000,000",,"-21,695,000,000","89,971,000,000",78.12,76.96,"1,151,770,000","1,168,990,000","182,095,000,000","2,383,918,000,000","89,971,000,000","96,331,725,000","3,408,000,000","5,942,000,000","-2,534,000,000","173,770,000,000",,"1,910,636,000,000","147,357,000,000","89,971,000,000","-9,565,000,000","-9,565,000,000","330,692,000,000",0.335,"-3,204,275,000",20.709999084472656,20.709999084472656,20.469999313354492,20.469999313354492,20.469999313354492,846200.0,SONY,"23,771,719,541","19,145,520,101",,,,0.322,1.228,0.007,0.06
"1,901,511,000,000","1,874,351,000,000","1,389,714,000,000","511,797,000,000","419,203,000,000","419,203,000,000",,,"178,811,000,000","92,594,000,000","-3,710,000,000","2,337,000,000","6,047,000,000","-178,839,000,000","-206,000,000","629,000,000",,,,,,"-179,262,000,000","-89,955,000,000","30,078,000,000",,"-135,969,000,000","-135,969,000,000","-120,033,000,000","-120,033,000,000",,"-15,936,000,000","-135,969,000,000",-124.32,-124.32,"1,093,725,000","1,093,725,000","-85,588,000,000","1,808,917,000,000","-135,969,000,000","-135,815,530,000","2,337,000,000","6,047,000,000","-3,710,000,000","-83,908,000,000",,"1,389,714,000,000","139,425,000,000","-135,969,000,000","-206,000,000","-206,000,000","55,723,000,000",0.255,"-52,530,000",18.049999237060547,18.110000610351562,17.969999313354492,18.040000915527344,18.040000915527344,3078000.0,SONY,"20,904,284,283","16,487,423,616",,,,0.26,1.003,0.009,0.297
