GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,SalariesAndWages,RentAndLandingFees,OtherGandA,SellingAndMarketingExpense,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,TotalOtherFinanceCost,OtherIncomeExpense,GainOnSaleOfSecurity,SpecialIncomeCharges,RestructuringAndMergernAcquisition,ImpairmentOfCapitalAssets,WriteOff,OtherSpecialCharges,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,NetIncomeExtraordinary,PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
20742.723,2.633333333,3.766666667,6.81119967,"11,953,000,000","11,022,000,000","9,321,000,000","2,632,000,000","990,000,000","535,000,000",,,,,"535,000,000",,,,"455,000,000","1,642,000,000","-84,000,000",,"84,000,000",,"116,000,000","50,000,000",,,,,,"66,000,000","1,674,000,000","362,000,000","1,312,000,000","1,312,000,000","1,312,000,000","1,312,000,000",,,"1,312,000,000",1.91,1.91,"686,000,000","688,000,000","1,642,000,000","520,000,000","10,311,000,000","1,312,000,000","1,272,812,425.33",,"84,000,000","-84,000,000","1,758,000,000",,"9,321,000,000",,"1,312,000,000","50,000,000","50,000,000","1,708,000,000",0.216,"10,812,425.33",,,,,,,,"39,979,690,177","47,477,690,177",12.048,8.569,0.553,0.949,3.084,3.972,27.007,9/30/18
20552.653,2.733333333,3.933333333,6.38216,"11,775,000,000","10,769,000,000","9,147,000,000","2,628,000,000","948,000,000","511,000,000",,,,,"511,000,000",,,,"437,000,000","1,680,000,000","-89,000,000",,"89,000,000",,"-219,000,000","-238,000,000",,,,,,"19,000,000","1,372,000,000","347,000,000","1,025,000,000","1,025,000,000","1,025,000,000","1,025,000,000",,,"1,025,000,000",1.47,1.47,"695,000,000","697,000,000","1,680,000,000","504,000,000","10,095,000,000","1,025,000,000","1,202,806,122.45",,"89,000,000","-89,000,000","1,461,000,000",,"9,147,000,000",,"1,025,000,000","-238,000,000","-238,000,000","1,699,000,000",0.253,"-60,193,877.55",,,,,,,,"34,751,166,715","41,430,166,715",10.008,8.446,0.728,0.843,2.727,3.518,28.357,6/30/18
20242.215,2.233333333,4.033333333,6.357802,"9,968,000,000","8,967,000,000","8,291,000,000","1,677,000,000","837,000,000","427,000,000",,,,,"427,000,000",,,,"410,000,000","840,000,000","-102,000,000",,"102,000,000",,"-20,000,000","18,000,000",,,,,,"-38,000,000","718,000,000","171,000,000","547,000,000","547,000,000","547,000,000","547,000,000",,,"547,000,000",0.78,0.77,"704,000,000","706,000,000","840,000,000","467,000,000","9,128,000,000","547,000,000","533,286,908.08",,"102,000,000","-102,000,000","820,000,000",,"8,291,000,000","610,000,000","547,000,000","18,000,000","18,000,000","802,000,000",0.238,"4,286,908.08",,,,,,,,"38,745,921,151","44,940,921,151",11.073,8.432,0.594,0.961,2.768,4.509,54.806,3/31/18
19937.963,2.1,4.133333333,6.61358333,"10,245,000,000","8,700,000,000","7,952,000,000","2,293,000,000","1,099,000,000","443,000,000",,,,,"443,000,000",,,,"656,000,000","1,194,000,000","-99,000,000",,"99,000,000",,"-5,000,000",,,,,,,"-5,000,000","1,090,000,000","518,000,000","572,000,000","572,000,000","572,000,000","572,000,000",,,"572,000,000",0.423,0.42,"707,197,979","711,904,762","1,194,000,000","476,000,000","9,051,000,000","572,000,000","572,000,000",,"99,000,000","-99,000,000","1,189,000,000",,"7,952,000,000",,"572,000,000",,,"1,189,000,000",0.4,0,,,,,,,,"39,926,495,784","46,296,495,784",11.2,9.794,2.57,1.009,2.829,4.519,38.937,12/31/17
19617.288,1.933333333,4.3,6.66638533,"11,060,000,000","9,586,000,000","8,146,000,000","2,914,000,000","1,075,000,000","482,000,000",,,,,"482,000,000",,,,"593,000,000","1,839,000,000","-100,000,000",,"100,000,000",,"66,000,000",,,,,,,"66,000,000","1,805,000,000","627,000,000","1,178,000,000","1,178,000,000","1,178,000,000","1,178,000,000",,,"1,178,000,000",1.64,1.64,"716,000,000","719,000,000","1,839,000,000","489,000,000","9,221,000,000","1,178,000,000","1,178,000,000",,"100,000,000","-100,000,000","1,905,000,000",,"8,146,000,000",,"1,178,000,000",,,"1,905,000,000",0.347,0,,,,,,,,"34,912,737,111","40,938,737,111",9.53,8.599,2.429,0.888,2.551,3.702,21.49,9/30/17
19379.232,1.9,4.4,6.86165733,"10,791,000,000","9,414,000,000","7,772,000,000","3,019,000,000","991,000,000","458,000,000",,,,,"458,000,000",,,,"533,000,000","2,028,000,000","-103,000,000",,"103,000,000",,"-34,000,000",,,,,,,"-34,000,000","1,891,000,000","667,000,000","1,224,000,000","1,224,000,000","1,224,000,000","1,224,000,000",,,"1,224,000,000",1.68,1.68,"728,000,000","731,000,000","2,028,000,000","465,000,000","8,763,000,000","1,224,000,000","1,224,000,000",,"103,000,000","-103,000,000","1,994,000,000",,"7,772,000,000",,"1,224,000,000",,,"1,994,000,000",0.353,0,54,54.27999878,53.72999954,53.74000168,50.05363083,5012800,DAL,"38,909,383,915","45,486,383,915",9.952,10.32,4.427,1.01,3.006,4.215,22.812,6/30/17
19237.435,2.533333333,4.566666667,6.887835,"9,148,000,000","7,848,000,000","7,224,000,000","1,924,000,000","871,000,000","404,000,000",,,,,"404,000,000",,,,"467,000,000","1,053,000,000","-94,000,000",,"94,000,000",,"-44,000,000",,,,,,,"-44,000,000","915,000,000","312,000,000","603,000,000","603,000,000","603,000,000","603,000,000",,,"603,000,000",0.83,0.82,"728,000,000","731,000,000","1,053,000,000","449,000,000","8,095,000,000","603,000,000","603,000,000",,"94,000,000","-94,000,000","1,009,000,000",,"7,224,000,000","540,000,000","603,000,000",,,"1,009,000,000",0.341,0,46.11999893,46.29000092,45.88999939,45.95999908,42.63178253,7052700,DAL,"33,804,977,781","37,887,977,781",7.938,8.905,2.308,0.875,2.751,4.142,37.55,3/31/17
19032.58,1.8,4.766666667,6.83151767,"9,458,000,000","8,148,000,000","7,538,000,000","1,920,000,000","900,000,000","419,000,000",,,,,"419,000,000",,,,"481,000,000","1,020,000,000","-93,000,000",,"93,000,000",,"25,000,000",,,,,,,"25,000,000","952,000,000","330,000,000","622,000,000","622,000,000","622,000,000","622,000,000",,,"622,000,000",0.85,0.84,"732,000,000","737,000,000","1,020,000,000","448,000,000","8,438,000,000","622,000,000","622,000,000",,"93,000,000","-93,000,000","1,045,000,000",,"7,538,000,000","472,000,000","622,000,000",,,"1,045,000,000",0.347,0,,,,,,,,"36,222,760,933","40,635,760,933",7.96,9.833,1.539,0.951,2.873,4.296,38.886,12/31/16
18821.359,1.133333333,4.9,6.667625,"10,483,000,000","9,238,000,000","7,521,000,000","2,962,000,000","993,000,000","466,000,000",,,,,"466,000,000",,,,"527,000,000","1,969,000,000","-95,000,000",,"95,000,000",,"26,000,000",,,,,,,"26,000,000","1,900,000,000","641,000,000","1,259,000,000","1,259,000,000","1,259,000,000","1,259,000,000",,,"1,259,000,000",1.7,1.69,"740,000,000","744,000,000","1,969,000,000","471,000,000","8,514,000,000","1,259,000,000","1,259,000,000",,"95,000,000","-95,000,000","1,995,000,000",,"7,521,000,000","474,000,000","1,259,000,000",,,"1,995,000,000",0.337,0,39.15000153,39.59999847,38.93000031,39.36000061,36.19802094,8889300,DAL,"28,984,099,824","33,837,099,824",6.41,7.027,,0.762,2.454,3.228,16.961,9/30/16
18656.207,1.033333333,4.933333333,6.53039333,"10,447,000,000","9,135,000,000","7,102,000,000","3,345,000,000","922,000,000","437,000,000",,,,,"437,000,000",,,,"485,000,000","2,423,000,000","-93,000,000",,"93,000,000",,"20,000,000",,,,,,,"20,000,000","2,350,000,000","804,000,000","1,546,000,000","1,546,000,000","1,546,000,000","1,546,000,000",,,"1,546,000,000",2.04,2.03,"758,000,000","763,000,000","2,423,000,000","442,000,000","8,024,000,000","1,546,000,000","1,546,000,000",,"93,000,000","-93,000,000","2,443,000,000",,"7,102,000,000","470,000,000","1,546,000,000",,,"2,443,000,000",0.342,0,36.25999832,36.43000031,35.72999954,36.43000031,33.32033157,12413700,DAL,"27,282,706,709","32,819,706,709",6.133,5.828,,0.712,2.425,3.142,13.434,6/30/16
18470.156,1.1,4.9,6.540867,"9,251,000,000","7,924,000,000","6,830,000,000","2,421,000,000","881,000,000","388,000,000",,,,,"388,000,000",,,,"493,000,000","1,540,000,000","-107,000,000",,"107,000,000",,"1,000,000",,,,,,,"1,000,000","1,434,000,000","488,000,000","946,000,000","946,000,000","946,000,000","946,000,000",,,"946,000,000",1.22,1.21,"774,000,000","780,000,000","1,540,000,000","414,000,000","7,711,000,000","946,000,000","946,000,000",,"107,000,000","-107,000,000","1,541,000,000",,"6,830,000,000",,"946,000,000",,,"1,541,000,000",0.34,0,49.36999893,49.74000168,48.65999985,48.68000031,44.38169479,6550500,DAL,"37,560,584,499","42,452,584,499",8.647,6.794,,0.962,3.462,4.589,27.549,3/31/16
18378.803,0.466666667,5.033333333,6.38993,"9,502,000,000","8,318,000,000","6,990,000,000","2,512,000,000","795,000,000","402,000,000",,,,,"402,000,000",,,,"393,000,000","1,717,000,000","-102,000,000",,"102,000,000",,"-82,000,000",,0,0,,,,"-82,000,000","1,533,000,000","553,000,000","980,000,000","980,000,000","980,000,000","980,000,000",,,"980,000,000",1.26,1.25,"778,000,000","785,000,000","1,717,000,000","396,000,000","7,785,000,000","980,000,000","980,000,000",,"102,000,000","-102,000,000","1,635,000,000",,"6,990,000,000","451,000,000","980,000,000",0,0,"1,635,000,000",0.361,0,51,51.08000183,50.34999847,50.68999863,46.06809998,5911400,DAL,"39,476,560,503","44,466,560,503",14.319,8.197,,1.013,3.816,4.68,27.197,12/31/15
18347.425,0.133333333,5.1,6.301371,"11,107,000,000","9,791,000,000","7,866,000,000","3,241,000,000","1,028,000,000","463,000,000",,,,,"463,000,000",,,,"565,000,000","2,213,000,000","-121,000,000",,"121,000,000",,"-20,000,000",,0,0,,,,"-20,000,000","2,072,000,000","757,000,000","1,315,000,000","1,315,000,000","1,315,000,000","1,315,000,000",,,"1,315,000,000",1.67,1.65,"788,000,000","795,000,000","2,213,000,000","466,000,000","8,894,000,000","1,315,000,000","1,315,000,000",,"121,000,000","-121,000,000","2,193,000,000",,"7,866,000,000",,"1,315,000,000",0,0,"2,193,000,000",0.365,0,44.72000122,45.04000092,43.86000061,44.86999893,40.67082596,9525700,DAL,"35,289,071,374","40,759,071,374",19.424,8.673,,0.908,3.69,3.67,18.586,9/30/15
18223.577,-0.033333333,5.433333333,6.20358667,"10,707,000,000","9,346,000,000","7,239,000,000","3,468,000,000","969,000,000","421,000,000",,,,,"421,000,000",,,,"548,000,000","2,499,000,000","-127,000,000",,"127,000,000",,"-6,000,000",,"-25,000,000","25,000,000",,,,"19,000,000","2,366,000,000","881,000,000","1,485,000,000","1,485,000,000","1,485,000,000","1,485,000,000",,,"1,485,000,000",1.85,1.83,"803,000,000","811,000,000","2,474,000,000","448,000,000","8,208,000,000","1,485,000,000","1,500,691,039.73",,"127,000,000","-127,000,000","2,493,000,000",,"7,239,000,000",,"1,485,000,000","-25,000,000","-25,000,000","2,518,000,000",0.372,"-9,308,960.27",41.68000031,41.83000183,41.02999878,41.08000183,37.12705994,10416400,DAL,"32,674,963,478","38,671,963,478",28.727,7.628,,0.843,3.612,3.612,15.512,6/30/15
18003.399,-0.066666667,5.533333333,6.23652833,"9,388,000,000","8,140,000,000","7,102,000,000","2,286,000,000","878,000,000","386,000,000",,,,,"386,000,000",,,,"492,000,000","1,408,000,000","-131,000,000",,"131,000,000",,"-91,000,000",,"-10,000,000","10,000,000",,,,"-81,000,000","1,186,000,000","440,000,000","746,000,000","746,000,000","746,000,000","746,000,000",,,"746,000,000",0.91,0.9,"818,000,000","826,000,000","1,398,000,000","433,000,000","7,980,000,000","746,000,000","752,290,050.59",,"131,000,000","-131,000,000","1,317,000,000",,"7,102,000,000",,"746,000,000","-10,000,000","-10,000,000","1,327,000,000",0.371,"-3,709,949.41",45.58000183,45.61999893,44.65999985,44.95999908,40.55039978,9679100,DAL,"36,700,703,138","43,172,703,138",57.641,8.078,1.704,0.941,4.164,4.599,32.781,3/31/15
17849.912,1.266666667,5.7,6.147504,"9,647,000,000","8,478,000,000","9,502,000,000","145,000,000","906,000,000","411,000,000",,,,,"411,000,000",,,,"495,000,000","-761,000,000","-137,000,000",,"137,000,000",,"-242,000,000",,"-72,000,000","180,000,000",,,"-108,000,000","-170,000,000","-1,140,000,000","-428,000,000","-712,000,000","-712,000,000","-712,000,000","-712,000,000",,,"-712,000,000",-0.86,-0.86,"825,000,000","825,000,000","-828,000,000","414,000,000","10,408,000,000","-712,000,000","-667,031,578.95",,"137,000,000","-137,000,000","-1,003,000,000",,"9,502,000,000",,"-712,000,000","-72,000,000","-72,000,000","-931,000,000",0.375,"-27,031,578.95",49.58000183,50.15999985,49.09999847,49.18999863,44.27632523,7772200,DAL,"40,594,452,481","46,371,452,481",4.277,10.515,2.219,1.052,3.301,4.807,-46.233,12/31/14
17721.657,1.8,6.066666667,6.14402333,"11,178,000,000","10,020,000,000","8,782,000,000","2,396,000,000","991,000,000","476,000,000",,,,,"476,000,000",,,,"515,000,000","1,405,000,000","-154,000,000",,"154,000,000",,"-672,000,000",,"-704,000,000","570,000,000",,,"134,000,000","32,000,000","579,000,000","222,000,000","357,000,000","357,000,000","357,000,000","357,000,000",,,"357,000,000",0.43,0.42,"834,000,000","843,000,000","835,000,000","458,000,000","9,773,000,000","357,000,000","791,072,538.86",,"154,000,000","-154,000,000","733,000,000",,"8,782,000,000",,"357,000,000","-704,000,000","-704,000,000","1,437,000,000",0.383,"-269,927,461.14",36.00999832,36.52999878,35.18000031,36.15000153,32.4697113,15101800,DAL,"30,255,430,236","36,496,430,236",2.853,9.569,2.019,0.791,2.479,3.265,49.79,9/30/14
17432.909,2.066666667,6.2,6.23258167,"10,621,000,000","9,496,000,000","8,164,000,000","2,457,000,000","848,000,000","440,000,000",,,,,"440,000,000",,,,"408,000,000","1,609,000,000","-173,000,000",,"173,000,000",,"-138,000,000",,"-141,000,000","30,000,000",,,"111,000,000","3,000,000","1,298,000,000","497,000,000","801,000,000","801,000,000","801,000,000","801,000,000",,,"801,000,000",0.95,0.94,"841,000,000","850,000,000","1,579,000,000","411,000,000","9,012,000,000","801,000,000","888,011,556.24",,"173,000,000","-173,000,000","1,471,000,000",,"8,164,000,000",,"801,000,000","-141,000,000","-141,000,000","1,612,000,000",0.383,"-53,988,443.76",39.18000031,39.33000183,38.59999847,38.72000122,34.69167328,11834400,DAL,"32,641,191,003","40,027,191,003",3.09,9.452,1.994,0.869,2.804,3.769,27.211,6/30/14
17104.555,1.4,6.666666667,6.106293,"8,916,000,000","7,894,000,000","7,495,000,000","1,421,000,000","752,000,000","373,000,000",,,,,"373,000,000",,,,"379,000,000","669,000,000","-186,000,000",,"186,000,000",,"-148,000,000",,"-67,000,000","49,000,000",,,"18,000,000","-81,000,000","335,000,000","122,000,000","213,000,000","213,000,000","213,000,000","213,000,000",,,"213,000,000",0.25,0.25,"844,000,000","853,000,000","620,000,000","392,000,000","8,247,000,000","213,000,000","255,880,000",,"186,000,000","-186,000,000","521,000,000",,"7,495,000,000",,"213,000,000","-67,000,000","-67,000,000","588,000,000",0.36,"-24,120,000",33.75,34.90999985,33.75,34.65000153,30.9956913,10215900,DAL,"29,383,688,149","36,922,688,149",2.819,9.95,2.098,0.787,2.524,4.141,70.869,3/31/14
17083.137,1.233333333,6.933333333,6.10315433,"9,076,000,000","8,112,000,000","7,464,000,000","1,612,000,000","751,000,000","391,000,000",,,,,"391,000,000",,,,"360,000,000","861,000,000","-206,000,000",,"206,000,000",,"-180,000,000",,"-160,000,000","160,000,000",,,,"-20,000,000","475,000,000","-8,004,000,000","8,479,000,000","8,479,000,000","8,479,000,000","8,479,000,000",,,"8,479,000,000",10.02,9.89,"846,000,000","858,000,000","701,000,000","397,000,000","8,215,000,000","8,479,000,000","8,583,000,000",,"206,000,000","-206,000,000","681,000,000",,"7,464,000,000",,"8,479,000,000","-160,000,000","-160,000,000","841,000,000",0.35,"-56,000,000",27.22999954,27.64999962,27.20000076,27.46999931,24.52523994,9152400,DAL,"23,389,142,863","31,312,142,863",11.398,9.166,1.934,0.631,170.724,3.45,45.98,12/31/13
